"Tag Summary Report"
"12/01/2024 00:00 - 01/01/2025 00:00"

Incident,"Ad Tag ID",Hash,"Tag Name","Scan Type","Hit Type","Scan Date","Scan ID",Example,csid,"Comment Type","Comment Text","Threat Behavior","Expected Behavior","Malware Condition","Named Threat","Resolution Reason"
TMT-20241213-LXJ,pluto_tmt_cr_648e45cd1f836ecf4d1dc4657d5a3524,4d784c4ca41235cf5ed26bdf9b47d516,pluto_tmt_mobile_159_portacharge_RTB,Tag,Malicious,"2025-01-01 00:12 +0000",124712066645,https://www.themediatrust.com?scsh=124712066645,3UKh4tTE2mjv,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","GhostCat - 3PC",
TMT-20230609-OEC,pluto_tmt_cr_3074d8fa334a957f71123e533312fcef,067b7a50e2fbcbfa15ba912ee4066a38,pluto_tmt_mobile_159_121045_1_96_RTB,Tag,"Malicious - Indirect Evidence","2025-01-01 00:06 +0000",124711925282,https://www.themediatrust.com?scsh=124711925282,3UKh2x5T1Wbj,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20231122-BCO,pluto_tmt_cr_0b618d867d0c91043ccca76058173c02,1518192030cc43e04456350e6d0131d6,pluto_tmt_mobile_159_121045_3_96_RTB,Tag,"Malicious - Indirect Evidence","2024-12-31 23:51 +0000",124711667576,https://www.themediatrust.com?scsh=124711667576,3UKgGueQ1CAJ,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20230609-OEC,pluto_tmt_cr_56f64a435992a4e31ead5742a9ff15fb,c826a849fca00a976972f6f49530c58a,pluto_tmt_mobile_159_121045_1_95_RTB,Tag,"Malicious - Indirect Evidence","2024-12-31 23:36 +0000",124711372677,https://www.themediatrust.com?scsh=124711372677,3UKgCLCz2HVz,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20240312-OFU,pluto_tmt_cr_8eb0773ccdc98a433cb0ebc60741ed43,2c3bdcd2ae96f23d04eb4126a0638159,pluto_tmt_mobile_459_cr2690.558b6156_RTB,Tag,"Out Of Browser Redirect","2024-12-31 22:44 +0000",124710336779,https://www.themediatrust.com?scsh=124710336779,3UKfEeSR2EsL,"App Store Redirect Android","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the Google Play store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into the Google Play store. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect Android",,
TMT-20241022-WNK,pluto_tmt_cr_2caaff09094af78883c0cbf2e9ac5ac3,97abb4b1510ee6cdd74fd147d729a0f8,pluto_tmt_mobile_399_3594455_RTB,Tag,"Out Of Browser Redirect","2024-12-31 22:41 +0000",124710288396,https://www.themediatrust.com?scsh=124710288396,3UKfDu1T2ZUk,"App Store Redirect Android","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the Google Play store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into the Google Play store. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect Android",,
TMT-20240424-UAH,pluto_tmt_cr_781eefb64b3667f02d3409f08ea168d5,498847ac1753ee34d71d6e8f3dde5beb,pluto_tmt_mobile_324_CR51816068_RTB,Tag,"Out Of Browser Redirect","2024-12-31 22:10 +0000",124709630526,https://www.themediatrust.com?scsh=124709630526,3UKf4Nav1xrs,"App Store Redirect Android","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the Google Play store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into the Google Play store. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect Android",,
TMT-20240206-JPV,pluto_tmt_cr_8245e15fc6c6bcd3a566e4ed94dd7bd4,cfb0be65c82660f522fe52d81c420860,pluto_tmt_mobile_358_5248:11998947|cdd56685631717ad_RTB,Tag,"Out Of Browser Redirect","2024-12-31 22:01 +0000",124709460678,https://www.themediatrust.com?scsh=124709460678,3UKf1YMY1emV,"App Store Redirect iOS","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the iTunes store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into iTunes. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect iOS",,
TMT-20231122-BCO,pluto_tmt_cr_8e07d477e9ad84136a3159809cca3e9a,3d13b33b0fbfe06969ee4d3f5e2b7e6d,pluto_tmt_mobile_159_121045_3_95_RTB,Tag,"Malicious - Indirect Evidence","2024-12-31 21:50 +0000",124709212850,https://www.themediatrust.com?scsh=124709212850,3UKeGWsE1T93,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20230609-OEC,pluto_tmt_cr_56f64a435992a4e31ead5742a9ff15fb,ae05781b62f6fa61254910a098e7bc5b,pluto_tmt_mobile_159_121045_1_95_RTB,Tag,"Malicious - Indirect Evidence","2024-12-31 21:17 +0000",124708536221,https://www.themediatrust.com?scsh=124708536221,3UKe6Wcp2WKU,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20230609-VMQ,pluto_tmt_cr_0addb7b37129e59ce740162675f2080b,950b20e1393991adcff33f84bd9a3038,pluto_tmt_mobile_159_121045_4_95_RTB,Tag,"Malicious - Indirect Evidence","2024-12-31 21:10 +0000",124708434483,https://www.themediatrust.com?scsh=124708434483,3UKe4HWE1Rma,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20240424-UAH,pluto_tmt_cr_2d80f75493dc5adc56ef74430af59ad3,73ef1b0cf4545c0020a1b2897736b6f3,pluto_tmt_mobile_159_CR51816067_RTB,Tag,"Out Of Browser Redirect","2024-12-31 20:51 +0000",124708029949,https://www.themediatrust.com?scsh=124708029949,3UKdGjxX26Aq,"App Store Redirect Android","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the Google Play store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into the Google Play store. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect Android",,
TMT-20240416-OVU,pluto_tmt_cr_fb3c07cf65e3f85301efe1ed9eb53fc0,60ee1ab08020afe95af4ce3f48146534,pluto_tmt_mobile_659_176_CR51368389_RTB,Tag,"Out Of Browser Redirect","2024-12-31 20:41 +0000",124707848287,https://www.themediatrust.com?scsh=124707848287,3UKdDtsM1Hpo,"App Store Redirect iOS","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the iTunes store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into iTunes. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect iOS",,
TMT-20240312-OFU,pluto_tmt_cr_5d21e1f74f1689c301bb98c957e51ab5,9115003719bc77fdf6b44fe22fe9d311,pluto_tmt_mobile_401_3490:CR51369434_744_RTB,Tag,"Out Of Browser Redirect","2024-12-31 20:24 +0000",124707475687,https://www.themediatrust.com?scsh=124707475687,3UKd8c2k2F2q,"App Store Redirect Android","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the Google Play store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into the Google Play store. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect Android",,
TMT-20231210-XUL,pluto_tmt_cr_7c1d0873abe11a5567aca437e2599711,f98e0d20fc0dc23113e94d10892207f3,pluto_tmt_mobile_187_630692_RTB,Tag,"Out Of Browser Redirect","2024-12-31 20:12 +0000",124707240386,https://www.themediatrust.com?scsh=124707240386,3UKd4q8Z2AcQ,"App Store Redirect iOS","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the iTunes store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into iTunes. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect iOS",,
TMT-20230609-VMQ,pluto_tmt_cr_2c953cd7a25e7c1cbe6c4f4e426f4e1e,7ee87314ccf141641d1f722cf77140ea,pluto_tmt_mobile_159_1267df0120691eec4d767d5f01349ade|20022_RTB,Tag,"Malicious - Indirect Evidence","2024-12-31 18:56 +0000",124705608200,https://www.themediatrust.com?scsh=124705608200,3UKbJUq61xZr,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20240424-UAH,pluto_tmt_cr_32fd16cb50f48c84b2003cbccf717a96,62a0cee2a96576500e1abd57ad6315b1,pluto_tmt_mobile_324_CR51816067_RTB,Tag,"Out Of Browser Redirect","2024-12-31 18:53 +0000",124705524921,https://www.themediatrust.com?scsh=124705524921,3UKbHNSk2X9Q,"App Store Redirect Android","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the Google Play store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into the Google Play store. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect Android",,
TMT-20240312-OFU,pluto_tmt_cr_2a75dc530ddec7b33534ea52f93a3141,c89ef162cee4199d152b70f7ccb49af7,pluto_tmt_mobile_435_cr2690.558b6156_RTB,Tag,"Out Of Browser Redirect","2024-12-31 18:06 +0000",124704604953,https://www.themediatrust.com?scsh=124704604953,3UKb35p82AwZ,"App Store Redirect Android","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the Google Play store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into the Google Play store. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect Android",,
TMT-20241218-VRL,pluto_tmt_cr_bd76dc6a7f8c85dc85c0bdbe0bcea15b,016d0ca64e3701e9b709f5acd24a0134,pluto_tmt_mobile_193_393_500061_669754|f462ac96a1c765dd_RTB,Tag,Scam/Fraud,"2024-12-31 18:02 +0000",124704529532,https://www.themediatrust.com?scsh=124704529532,3UKb1tAE1wyU,Scam,"This content is a phishing/credential theft scam enticing users to enter personal information that is then leveraged in the future to harm the consumer or the corporate entity the consumer works for.",Scams,Phishing,Scam,,
TMT-20241023-WFN,pluto_tmt_cr_49e2741763f682aa8f064ef83e430945,7c98dd8b7305aa1b30e6059ece4fb8d3,pluto_tmt_mobile_822_556010-176_CR51615021|3702b4d752b50eda_RTB,Tag,"Out Of Browser Redirect","2024-12-31 16:52 +0000",124703164207,https://www.themediatrust.com?scsh=124703164207,3UKZHDJr1PeD,"App Store Redirect iOS","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the iTunes store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into iTunes. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect iOS",,
TMT-20231210-XUL,pluto_tmt_cr_bd1b96f4101e0044c6cb0b46f8fef4f1,3cca83cf44b30105e33a858ee02603b9,pluto_tmt_mobile_187_650477_RTB,Tag,"Out Of Browser Redirect","2024-12-31 16:49 +0000",124703101009,https://www.themediatrust.com?scsh=124703101009,3UKZGKsE2Qhq,"App Store Redirect iOS","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the iTunes store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into iTunes. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect iOS",,
TMT-20240703-YMJ,pluto_tmt_cr_7a4203f6fde3568ce281f393a5b202e2,a5640195ea5d469fcfa992a5679f04ca,pluto_tmt_mobile_681_5368ff586ca7d704bf389ba2687c8f98|40026_RTB,Tag,Malicious,"2024-12-31 15:53 +0000",124702005783,https://www.themediatrust.com?scsh=124702005783,3UKYHYp11odR,"Phishing Domain","Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,"Phishing Domain",,
TMT-20240424-UAH,pluto_tmt_cr_fcaef7b96efccb04b5fdae36a1055045,8886494dfb3e35f7e75adf5b34e27cfb,pluto_tmt_mobile_566_3490:CR51519066_RTB,Tag,"Out Of Browser Redirect","2024-12-31 15:20 +0000",124701350102,https://www.themediatrust.com?scsh=124701350102,3UKY7R1B1Fqs,"App Store Redirect Android","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the Google Play store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into the Google Play store. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect Android",,
TMT-20240312-OFU,pluto_tmt_cr_1aebb7fbccff01f5cb65cd37bd5df420,940da445648401fab695ff2069bb053f,pluto_tmt_mobile_401_3490:CR51369434_1137_RTB,Tag,"Out Of Browser Redirect","2024-12-31 13:40 +0000",124699554600,https://www.themediatrust.com?scsh=124699554600,3UKWDJLv211o,"App Store Redirect Android","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the Google Play store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into the Google Play store. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect Android",,
TMT-20241218-VRL,pluto_tmt_cr_01e516c4ffe5747e6d941ec77ba65d37,1df55fce75bad77c2b42b4af9d1dae7f,pluto_tmt_mobile_367_2760:393_500061_669756|cdd56685631717ad_RTB,Tag,Scam/Fraud,"2024-12-31 13:02 +0000",124698898894,https://www.themediatrust.com?scsh=124698898894,3UKW1h3f1xoU,Scam,"This content is a phishing/credential theft scam enticing users to enter personal information that is then leveraged in the future to harm the consumer or the corporate entity the consumer works for.",Scams,Phishing,Scam,,
TMT-20240415-AHQ,pluto_tmt_cr_05f28bb7f1dc134901362e365ae7d383,a13c029494e8b4c5401626fdaa826346,pluto_tmt_mobile_293_UUVFRE0HHAFZXDE2ZgZTAF9TWAVRFRZM_RTB,Tag,"Out Of Browser Redirect","2024-12-31 12:42 +0000",124698558574,https://www.themediatrust.com?scsh=124698558574,3UKVE6DA1368,"App Store Redirect iOS","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the iTunes store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into iTunes. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect iOS",,
