Incident,Ad Tag ID,Hash,Tag Name,Scan Type,Hit Type,Scan Date,Scan ID,Example,csid,Tag Status,Start Date,End Date,Pause,Priority,Publisher Name,Provider Account,Public Deck,Comment Type,Comment Text,Threat Behavior,Expected Behavior,Malware Condition
TMT-20240730-RPC,1735871588089919130,4bf2af4080b46aaca53c25fcee4e149a,TMT|banner$$20250103$$bidease_dsp$$isx$$d669fbf8b35f71i_47$$_RTB,Tag,Scam/Fraud,2025-01-03 02:39 +0000,124771835509,https://www.themediatrust.com?scsh=124771835509,3ULZD8k7191N,Paused,03/01/2025,03/01/2025,t,3,isx,bidease_dsp,https://www.themediatrust.com/vt.php?controller=v9&tsid=572831aa619e94285e051d6fc7b25fa8,Ad Fraud,"The creative delivery method for this creative will piggyback extra content. This extra content gets delivered when the creative is delivered and is acting in a fraudulent manner that includes, but is not limited to, cookie stuffing and impression fraud.
Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.",Ad Fraud,Impression Fraud,Ad Fraud
TMT-20240531-NBF,1735871310060626007,4eb7f237ea4893e23efbf0f187c65e7d,TMT|banner$$20250103$$magnite_dsp$$mvungle$$2149:11669561$$_RTB,Landing Page,Scam/Fraud,2025-01-03 02:35 +0000,124771751940,https://www.themediatrust.com?scsh=124771751940,3ULZBy421qxJ,Paused,03/01/2025,03/01/2025,t,99,mvungle,magnite_dsp,https://www.themediatrust.com/vt.php?controller=v9&tsid=32d1fcd6bf8f3c850d912a9e45ce1ab8,Scam,This content is a phishing/credential theft scam enticing users to enter personal information that is then leveraged in the future to harm the consumer or the corporate entity the consumer works for.,Scams,Phishing,Scam
TMT-20241222-ERT,1735870780141845347,71dc6aaf30cfb69c841e53efa71521a3,TMT|banner$$20250103$$aceexchange_dsp$$prebid$$bdrxLcC8mNnNWxyIkzH2ng==$$_RTB,Tag,Scam/Fraud,2025-01-03 02:24 +0000,124771555685,https://www.themediatrust.com?scsh=124771555685,3ULZ8U5j23aP,Paused,03/01/2025,03/01/2025,t,99,prebid,aceexchange_dsp,https://www.themediatrust.com/vt.php?controller=v9&tsid=87d8a6ab6e54ae9602b8b2bf3c58b56f,Ad Fraud,"The creative delivery method for this creative will piggyback extra content. This extra content gets delivered when the creative is delivered and is acting in a fraudulent manner that includes, but is not limited to, cookie stuffing and impression fraud.
Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.",Ad Fraud,Impression Fraud,Ad Fraud
TMT-20241213-LXJ,1735870565759336499,df8faf64ae691b08c0c20c1a147ad3e6,TMT|banner$$20250103$$algorix_dsp$$fyber$$dde7a540b887870449b05ffcc93c6cf8$$_RTB,Tag,Malicious,2025-01-03 02:23 +0000,124771499060,https://www.themediatrust.com?scsh=124771499060,3ULZ8NuT2S59,Paused,03/01/2025,03/01/2025,t,3,fyber,algorix_dsp,https://www.themediatrust.com/vt.php?controller=v9&tsid=ee467e6d414b671175ada8fa394cf155,GhostCat - 3PC,"GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,GhostCat - 3PC
TMT-20241001-TPJ,1735870113676684721,fa330cc9fb50d94f80cfd63883dc36b3,TMT|banner$$20250103$$zzmobi$$seedtag$$480354970$$_RTB,Landing Page,Malicious,2025-01-03 02:17 +0000,124771357318,https://www.themediatrust.com?scsh=124771357318,3ULZ6Lnw2VUA,Paused,03/01/2025,03/01/2025,t,99,seedtag,zzmobi,https://www.themediatrust.com/vt.php?controller=v9&tsid=95cdab24fd8a9ddc452b4208e95acb0f,Dolos-3PC,"Dolos-3PC is the primary method for delivering Tech Support Scams that attack vulnerable people, in particular Senior Citizens, to steal their money and commit cyber crime. DOLOS-3PC results in billions of dollars in Digital Crime every year. The delivery of this threat begins with a very simple, innocuous-looking ad. Once clicked, the user is redirected to the malvertisers cloaked landing page. Template-like web pages with minimal content, generic blog sites with semi-legitimate characteristics, and domain spoofing are the three types of cloaking that are commonly used by this malware threat.  This content leads to the installation of backdoors or financial loss for the victim.
Typically this is delivered via compromised webpages.  To remediate this issue please ensure all libraries and files on page are up to date and are only delivering the desired content.  Website owners should ensure the login credentials for the site are updated to ensure no outside party has stolen the login credentials to make changes to the websites code/content.  If utilizing a WordPress site ensure it has been patched and is up to date with current file versions.",Backdoor,"Scam: ""Call Technical Support""",Dolos-3PC
TMT-20190223-OQM,1735870033069112249,22850c25d5b88c448e5ea9a4be446894,TMT|banner$$20250103$$bidease_dsp$$unityads$$tredio_128995|97PAadwmg_tech_118531|ppcbuzz_130283|34659$$_RTB,Tag,Malicious,2025-01-03 02:14 +0000,124771318850,https://www.themediatrust.com?scsh=124771318850,3ULZ5Q9v1xi1,Paused,03/01/2025,03/01/2025,t,3,unityads,bidease_dsp,https://www.themediatrust.com/vt.php?controller=v9&tsid=f5a3e3f88850330e62d7e2ea08439965,Redirector,"Redirector: This domain has been seen consistently redirecting to malicious, scam, parked and/or other forms of malicious content.",Phishing,Phishing,Redirector
TMT-20241213-LXJ,1735869931422900192,5bed2075e99536dfdb1d1b6f935ac542,TMT|banner$$20250103$$algorix_dsp$$fyberdisplay$$therapillo$$_RTB,Tag,Malicious,2025-01-03 02:13 +0000,124771278609,https://www.themediatrust.com?scsh=124771278609,3ULZ54GZ1hxf,Paused,03/01/2025,03/01/2025,t,3,fyberdisplay,algorix_dsp,https://www.themediatrust.com/vt.php?controller=v9&tsid=b862b066ff05beafa373d93e8cfc615c,GhostCat - 3PC,"GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,GhostCat - 3PC
TMT-20240424-UAH,1735869551767076058,d5de9a5122cae75875004172312654d1,TMT|banner$$20250103$$magnite_dsp$$mvungle$$2760:176_CR51519017$$_RTB,Tag,Out Of Browser Redirect,2025-01-03 02:07 +0000,124771152213,https://www.themediatrust.com?scsh=124771152213,3ULZ39y31MNX,Paused,03/01/2025,03/01/2025,t,99,mvungle,magnite_dsp,https://www.themediatrust.com/vt.php?controller=v9&tsid=70691c81d7160fb419998e41e6eb97af,App Store Redirect Android,"This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the Google Play store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into the Google Play store. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.",Ad Fraud,Out-of-browser Redirect,App Store Redirect Android
TMT-20240820-XQN,1735869296799819080,e3aab6d9cccb8c6f20fa282403b79edd,TMT|banner$$20250103$$bidease_dsp$$isx$$3226|d669fbf8b35f71i$$_RTB,Tag,Out Of Browser Redirect,2025-01-03 02:01 +0000,124771064893,https://www.themediatrust.com?scsh=124771064893,3ULZ1bbM1Ug5,Paused,03/01/2025,03/01/2025,t,3,isx,bidease_dsp,https://www.themediatrust.com/vt.php?controller=v9&tsid=8843b220936b394e51faffd31a9482a0,Ad Fraud,"The creative delivery method for this creative will piggyback extra content. This extra content gets delivered when the creative is delivered and is acting in a fraudulent manner that includes, but is not limited to, cookie stuffing and impression fraud.
Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.",Ad Fraud,Impression Fraud,Ad Fraud
TMT-20241231-RWO,1735869142509787402,ce1b7e99a6680a61644edad1b33740b5,TMT|banner$$20250103$$zzmobi$$seedtag$$500029652$$_RTB,Landing Page,Scam/Fraud,2025-01-03 01:58 +0000,124771003280,https://www.themediatrust.com?scsh=124771003280,3ULYK8iE13n3,Paused,03/01/2025,03/01/2025,t,99,seedtag,zzmobi,https://www.themediatrust.com/vt.php?controller=v9&tsid=fc760344347787bc1cbbd31c23ae5e36,Scam,This content is a phishing/credential theft scam enticing users to enter personal information that is then leveraged in the future to harm the consumer or the corporate entity the consumer works for.,Scams,Phishing,Scam
TMT-20240820-XQN,1735869174968978878,30811374a3849e102f017c787db9c74d,TMT|banner$$20250103$$bidease_dsp$$fyberdisplay$$3226|2669fc00115c9bi$$_RTB,Tag,Out Of Browser Redirect,2025-01-03 01:58 +0000,124771002295,https://www.themediatrust.com?scsh=124771002295,3ULYK6HY2SsH,Paused,03/01/2025,03/01/2025,t,3,fyberdisplay,bidease_dsp,https://www.themediatrust.com/vt.php?controller=v9&tsid=5e12d8d0e4e937fdeed72ec6b41309d5,Ad Fraud,"The creative delivery method for this creative will piggyback extra content. This extra content gets delivered when the creative is delivered and is acting in a fraudulent manner that includes, but is not limited to, cookie stuffing and impression fraud.
Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.",Ad Fraud,Impression Fraud,Ad Fraud
TMT-20241213-LXJ,1735868910298686451,a3a51e7eb89a282b76c12291563d9529,TMT|banner$$20250103$$algorix_dsp$$fyberdisplay$$peepers$$_RTB,Tag,Malicious,2025-01-03 01:56 +0000,124770945459,https://www.themediatrust.com?scsh=124770945459,3ULYJN751pGv,Paused,03/01/2025,03/01/2025,t,3,fyberdisplay,algorix_dsp,https://www.themediatrust.com/vt.php?controller=v9&tsid=033ce473840123e1e66cd806e5c2db5d,GhostCat - 3PC,"GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,GhostCat - 3PC
TMT-20240730-RPC,1735868617109957000,7a26b5a8e3ba0363d412bf669d3aa9f6,TMT|banner$$20250103$$bidease_dsp$$isx$$3226|2669fc00115c9bi$$_RTB,Tag,Scam/Fraud,2025-01-03 01:51 +0000,124770847976,https://www.themediatrust.com?scsh=124770847976,3ULYGtRv2a2h,Paused,03/01/2025,03/01/2025,t,3,isx,bidease_dsp,https://www.themediatrust.com/vt.php?controller=v9&tsid=81b18768366838b19b946ec58358e808,Ad Fraud,"The creative delivery method for this creative will piggyback extra content. This extra content gets delivered when the creative is delivered and is acting in a fraudulent manner that includes, but is not limited to, cookie stuffing and impression fraud.
Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.",Ad Fraud,Impression Fraud,Ad Fraud
TMT-20240820-XQN,1735868522534171332,aeab003a1c0841c9a1c9ff0d088c3ee5,TMT|banner$$20250103$$bidease_dsp$$fyberdisplay$$3226|2669fc00115c9bi$$_RTB,Tag,Out Of Browser Redirect,2025-01-03 01:49 +0000,124770804530,https://www.themediatrust.com?scsh=124770804530,3ULYG7oD1jCT,Paused,03/01/2025,03/01/2025,t,3,fyberdisplay,bidease_dsp,https://www.themediatrust.com/vt.php?controller=v9&tsid=95d8399df761e540f86d232b1ef6ceb0,Ad Fraud,"The creative delivery method for this creative will piggyback extra content. This extra content gets delivered when the creative is delivered and is acting in a fraudulent manner that includes, but is not limited to, cookie stuffing and impression fraud.
Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.",Ad Fraud,Impression Fraud,Ad Fraud
TMT-20241222-ERT,1735868158575178782,2315e94f34885782adeb245a710a811e,TMT|banner$$20250103$$aceexchange_dsp$$prebid$$SO0CPlA3t+uIOTB9vgJ+Wg==$$_RTB,Tag,Scam/Fraud,2025-01-03 01:43 +0000,124770684330,https://www.themediatrust.com?scsh=124770684330,3ULYEQyw2ZSX,Paused,03/01/2025,03/01/2025,t,99,prebid,aceexchange_dsp,https://www.themediatrust.com/vt.php?controller=v9&tsid=10197816bc9e6bc464676d7de1576e92,Ad Fraud,"The creative delivery method for this creative will piggyback extra content. This extra content gets delivered when the creative is delivered and is acting in a fraudulent manner that includes, but is not limited to, cookie stuffing and impression fraud.
Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.",Ad Fraud,Impression Fraud,Ad Fraud
TMT-20240312-OFU,1735868111004558583,2d4de6a0b303ad966aeb546d609d4a26,TMT|banner$$20250103$$magnite_dsp$$mvungle$$2760:176_CR51369456$$_RTB,Tag,Out Of Browser Redirect,2025-01-03 01:42 +0000,124770669883,https://www.themediatrust.com?scsh=124770669883,3ULYE5Cy1V3u,Paused,03/01/2025,03/01/2025,t,99,mvungle,magnite_dsp,https://www.themediatrust.com/vt.php?controller=v9&tsid=e48c4afe9291e492251a18318c04d490,App Store Redirect Android,"This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the Google Play store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into the Google Play store. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.",Ad Fraud,Out-of-browser Redirect,App Store Redirect Android
TMT-20240429-OMT,1735867947491997926,44e706cea3b969771547a4a87de0e37b,TMT|banner$$20250103$$magnite_dsp$$mvungle$$2760:176_CR51615463$$_RTB,Tag,Scam/Fraud,2025-01-03 01:42 +0000,124770668426,https://www.themediatrust.com?scsh=124770668426,3ULYEBwo1dWs,Paused,03/01/2025,03/01/2025,t,99,mvungle,magnite_dsp,https://www.themediatrust.com/vt.php?controller=v9&tsid=5bde655ae3803c55f277b6982a0a4c8f,Ad Fraud,"The creative delivery method for this creative will piggyback extra content. This extra content gets delivered when the creative is delivered and is acting in a fraudulent manner that includes, but is not limited to, cookie stuffing and impression fraud.
Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.",Ad Fraud,Impression Fraud,Ad Fraud
