Incident,Ad Tag ID,Hash,Tag Name,Scan Type,Hit Type,Scan Date,Scan ID,Example,csid,Tag Status,Start Date,End Date,Pause,Priority,Publisher Name,Publisher ID,Website ID,Website Name,Provider ID,Provider Name,Provider Account ID,Provider Account,Country,Referrer,Public Deck,Comment Type,Comment Text,Threat Behavior,Expected Behavior,Malware Condition,Resolution Reason
TMT-20240703-YMJ,1735084873827410821,ef09bef8cde92cfa94022156104f8cc7,TMT|banner$$20241225$$Inspiritum_dsp$$xiaomi$$232497$$_RTB,Tag,Malicious,2024-12-25 07:55 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124533374703,3UGvJ1V91otj,Expired,25/12/2024,25/12/2024,f,3,xiaomi,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=8d554ccde4515445a2eb5c2944a0b4f3,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20231122-BCO,1735085626791276678,cd32dd6154e4f459600b2c212d5f87ba,TMT|banner$$20241225$$adsyield_dsp$$fyber$$cr2117.b59ba6e3$$_RTB,Tag,Malicious - Indirect Evidence,2024-12-25 07:51 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124533305700,3UGvGpuz2fV3,Expired,25/12/2024,25/12/2024,f,3,fyber,,,,,,,adsyield_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=f2e0aea9ea5f75c16686383d8065bca2,Heuristic Flag,Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.,Generic Malware/Suspicious,Suspicious (Multiple indicators match known overt incidents but no overt actions detected.),Heuristic Flag,
TMT-20241225-DMK,1735085463323556191,f3e3df4ca7c2a5338d789a084ad9a2f9,TMT|banner$$20241225$$spinx_dsp$$fyber$$4_1339464$$_RTB,Landing Page,Malicious,2024-12-25 07:49 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124533271722,3UGvGLQu2hb8,Expired,25/12/2024,25/12/2024,f,3,fyber,,,,,,,spinx_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=e6820b9c415c600a5a06090a11abebae,Compromised Domain,"Compromised Domain: This website has been compromised by a 3rd party to inject malicious code upon page visits.  The website itself is injecting extra code to force consumers to malicious destinations.
To remediate this issue please ensure all libraries and files on page are up to date and are only delivering the desired content.  Website owners should ensure the login credentials for the site are updated to ensure no outside party has stolen the login credentials to make changes to the websites code/content.  If utilizing a WordPress site ensure it has been patched and is up to date with current file versions.",Backdoor,Compromised Content,Compromised Domain,
TMT-20240703-YMJ,1735085302079364508,a9d4dbb74816118ac3bdb204951a1bd4,TMT|banner$$20241225$$Inspiritum_dsp$$unityads$$228634$$_RTB,Tag,Malicious,2024-12-25 07:49 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124533271382,3UGvGHY42ok1,Expired,25/12/2024,25/12/2024,f,3,unityads,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=aad47b157958636dcb26f630a9e9b971,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20240703-YMJ,1735084906640448762,04dadf215ba14a28423c7467327082d6,TMT|banner$$20241225$$Inspiritum_dsp$$fyber$$231712$$_RTB,Tag,Malicious,2024-12-25 07:47 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124533241442,3UGvFhRR2e62,Expired,25/12/2024,25/12/2024,f,3,fyber,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=c9fa36be3790f7187ebef580626bb3ec,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20231122-BCO,1735085747325708373,6bad03b75429b7a468eba64a77311acb,TMT|banner$$20241225$$adsyield_dsp$$fyber$$cr2117.8c859291$$_RTB,Tag,Malicious - Indirect Evidence,2024-12-25 07:48 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124533228687,3UGvFoZF1tzd,Expired,25/12/2024,25/12/2024,f,3,fyber,,,,,,,adsyield_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=aa0e1a7c2ba28a676e28ab050083949e,Heuristic Flag,Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.,Generic Malware/Suspicious,Suspicious (Multiple indicators match known overt incidents but no overt actions detected.),Heuristic Flag,
TMT-20240703-YMJ,1735085325880466962,0cff37addbbe68325f774762a9395631,TMT|banner$$20241225$$Inspiritum_dsp$$fyberdisplay$$232344$$_RTB,Tag,Malicious,2024-12-25 07:47 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124533227876,3UGvFfZ31LLR,Expired,25/12/2024,25/12/2024,f,3,fyberdisplay,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=605550545ae83b3c23cfa6bcaafa5c2f,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20240703-YMJ,1735085532141620536,62803431516d51890bc1c28771767833,TMT|banner$$20241225$$Inspiritum_dsp$$fyberdisplay$$232344$$_RTB,Tag,Malicious,2024-12-25 07:46 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124533226942,3UGvFLHq2hUj,Expired,25/12/2024,25/12/2024,f,3,fyberdisplay,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=56a809756ea3acb9434d2e15fca76654,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20240703-YMJ,1735084802469292572,08f70cfad93d487ccaaf29b33e8476b1,TMT|banner$$20241225$$Inspiritum_dsp$$unityads$$231662$$_RTB,Tag,Malicious,2024-12-25 07:45 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124533209958,3UGvF2rm2bHL,Expired,25/12/2024,25/12/2024,f,3,unityads,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=f3834b3256c2a33ae467b2ffeb354609,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20240703-YMJ,1735084803071684530,e648797e1c0c443c7b22cb44f52e215d,TMT|banner$$20241225$$Inspiritum_dsp$$unityads$$231643$$_RTB,Tag,Malicious,2024-12-25 07:45 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124533199486,3UGvF5HE2X52,Expired,25/12/2024,25/12/2024,f,3,unityads,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=a7683fa4f4081d5dd2fff2d29b8f583a,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20240703-YMJ,1735084821307934451,8772792020994519f295b9925b6119cd,TMT|banner$$20241225$$Inspiritum_dsp$$fyberdisplay$$232503$$_RTB,Tag,Malicious,2024-12-25 07:43 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124533172507,3UGvEVAf26vz,Expired,25/12/2024,25/12/2024,f,3,fyberdisplay,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=12be721a19184187843d54f0dc7e921f,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20241223-KXF,1735085450945041678,fe7f2c12b595771c3764d0801d5d9d17,TMT|banner$$20241225$$shareit_dsp$$fyberdisplay$$1:175108068$$_RTB,Tag,Scam/Fraud,2024-12-25 07:41 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124533127870,3UGvDrwA14CF,Expired,25/12/2024,25/12/2024,f,3,fyberdisplay,,,,,,,shareit_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=e5f8707426c7694712a19b9a31f9a5c1,Ad Fraud,"The creative delivery method for this creative will piggyback extra content. This extra content gets delivered when the creative is delivered and is acting in a fraudulent manner that includes, but is not limited to, cookie stuffing and impression fraud.
Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.",Ad Fraud,Impression Fraud,Ad Fraud,
TMT-20241223-KXF,1735085243895316504,4552b88cc5a8e2891c5c43bd1636fd71,TMT|banner$$20241225$$shareit_dsp$$mvungle$$1:174057232$$_RTB,Tag,Scam/Fraud,2024-12-25 07:40 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124533125941,3UGvDVhQ16a3,Expired,25/12/2024,25/12/2024,f,3,mvungle,,,,,,,shareit_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=6b6b9c8afaad09b19e436d28bce5c9f7,Ad Fraud,"The creative delivery method for this creative will piggyback extra content. This extra content gets delivered when the creative is delivered and is acting in a fraudulent manner that includes, but is not limited to, cookie stuffing and impression fraud.
Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.",Ad Fraud,Impression Fraud,Ad Fraud,
TMT-20231122-BCO,1735085146684689395,94205080af21a54219310fafaed2f329,TMT|banner$$20241225$$adsyield_dsp$$fyber$$cr2117.cb055f53$$_RTB,Tag,Malicious - Indirect Evidence,2024-12-25 07:40 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124533110375,3UGvDT3D29LC,Expired,25/12/2024,25/12/2024,f,3,fyber,,,,,,,adsyield_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=c03b8b37192a71b71c3bf52e80013075,Heuristic Flag,Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.,Generic Malware/Suspicious,Suspicious (Multiple indicators match known overt incidents but no overt actions detected.),Heuristic Flag,
TMT-20240703-YMJ,1735085314832649930,5bf2075f814ff0e5eee1c23446ac052c,TMT|banner$$20241225$$Inspiritum_dsp$$fyberdisplay$$232451$$_RTB,Tag,Malicious,2024-12-25 07:40 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124533096615,3UGvDVUu2Lbc,Expired,25/12/2024,25/12/2024,f,3,fyberdisplay,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=8feb09d4850a3f41fd70523c7a43dcf1,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20240703-YMJ,1735085424658790928,332781cf261bdcf952141c9209228f18,TMT|banner$$20241225$$Inspiritum_dsp$$unityads$$231773$$_RTB,Tag,Malicious,2024-12-25 07:40 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124533091209,3UGvDXPf2VmG,Expired,25/12/2024,25/12/2024,f,3,unityads,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=5ad55f94bd93223c1691f6fc633f60d3,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20240703-YMJ,1735084810790520041,1868c5ffae0a0e60fc17a753d6025b97,TMT|banner$$20241225$$Inspiritum_dsp$$fyber$$229769$$_RTB,Tag,Malicious,2024-12-25 07:38 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124533077990,3UGvCtwj2Fqu,Expired,25/12/2024,25/12/2024,f,3,fyber,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=f0a6133fce2864adb493c4c7b40a5a05,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20240703-YMJ,1735085393099340398,df8bd4434f00f6f838c38a6ef47a3a66,TMT|banner$$20241225$$Inspiritum_dsp$$algorixeu$$229756$$_RTB,Tag,Malicious,2024-12-25 07:38 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124533076708,3UGvCjiN1PnT,Expired,25/12/2024,25/12/2024,f,3,algorixeu,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=c001e992139777bd7d7cabd9b5427133,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20240703-YMJ,1735085135726455417,1c65ed0b54b391516f487b3750917330,TMT|banner$$20241225$$Inspiritum_dsp$$unityads$$229721$$_RTB,Tag,Malicious,2024-12-25 07:36 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124533041851,3UGvC9VX246K,Expired,25/12/2024,25/12/2024,f,3,unityads,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=0e85713b8b00987d11cd899d6ac54050,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20240703-YMJ,1735084863108977498,ed6402a96d00ee9838f54cae16e442d0,TMT|banner$$20241225$$Inspiritum_dsp$$pubnative$$232504$$_RTB,Tag,Malicious,2024-12-25 07:33 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124532983053,3UGvBRsh2cx3,Expired,25/12/2024,25/12/2024,f,3,pubnative,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=82a7fc97a73d28a7903da2dcff3d573c,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20240703-YMJ,1735084818404163749,40bfc6629063e1da8e6cd23c554eee90,TMT|banner$$20241225$$Inspiritum_dsp$$fyberdisplay$$232504$$_RTB,Tag,Malicious,2024-12-25 07:32 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124532948058,3UGvB1Mb1bJm,Expired,25/12/2024,25/12/2024,f,3,fyberdisplay,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=ad79601758e6c226bfa8971c512b85f2,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20240703-YMJ,1735085289722746556,5d8e3ce0b6c1d52eedb97d6efe0b6225,TMT|banner$$20241225$$Inspiritum_dsp$$fyber$$232344$$_RTB,Tag,Malicious,2024-12-25 07:30 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124532932677,3UGvAPhz1uNG,Expired,25/12/2024,25/12/2024,f,3,fyber,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=3a5ab68a63b30955f64f9f2e37aae88c,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20240703-YMJ,1735084817464871834,edd039a830e5e45c24e57fdea92d901a,TMT|banner$$20241225$$Inspiritum_dsp$$fyberdisplay$$232502$$_RTB,Tag,Malicious,2024-12-25 07:30 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124532931644,3UGvAQZi2M5A,Expired,25/12/2024,25/12/2024,f,3,fyberdisplay,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=f37958ce1590b2ce4544394bb88ca53c,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
TMT-20240703-YMJ,1735085502915512518,85a409acd7c68aae374297313cbbaf24,TMT|banner$$20241225$$Inspiritum_dsp$$xiaomi$$231317$$_RTB,Tag,Malicious,2024-12-25 07:29 +0000,1.24533E+11,https://www.themediatrust.com?scsh=124532897111,3UGv9vns2hrm,Expired,25/12/2024,25/12/2024,f,3,xiaomi,,,,,,,Inspiritum_dsp,,,https://www.themediatrust.com/vt.php?controller=v9&tsid=f6ce7407f180b01e1383f07a78a3c8e7,Phishing Domain,"Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,Phishing Domain,
