country,provider_account,hit_type,named_threat,threat_behavior,malware_condition,incident,tag_name,Count
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1319300&at=0&t=1,2
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241022-GQN,d=7&s=165&ci=&cri=555_165_714264443486&at=0&t=1,2
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1319309&at=0&t=1,2
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326980&at=0&t=1,2
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326769&at=0&t=1,2
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1319303&at=0&t=1,2
USA,7/165,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240822-ABO,d=7&s=165&ci=&cri=555_165_714264443486&at=0&t=1,2
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326976&at=0&t=1,2
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1319305&at=0&t=1,1
USA,7/379,Resolved,SocGholish,Backdoor,SocGholish,TMT-20241119-TZD,d=7&s=379&ci=&cri=494_379_f8wcrmpb&at=0&t=1,1
USA,7/379,Malicious,SocGholish,Backdoor,SocGholish,TMT-20241210-VKR,d=7&s=379&ci=&cri=494_379_16_612308648&at=0&t=1,1
USA,7/379,Malicious,SocGholish,Backdoor,SocGholish,TMT-20241210-VKR,d=7&s=379&ci=&cri=494_379_16_612307746&at=0&t=1,1
USA,7/379,Malicious,SocGholish,Backdoor,SocGholish,TMT-20241124-AFB,d=7&s=379&ci=&cri=494_379_46_11647942&at=0&t=1,1
USA,7/379,Malicious,SocGholish,Backdoor,SocGholish,TMT-20241124-AFB,d=7&s=379&ci=&cri=494_379_46_11647929&at=0&t=1,1
USA,7/269,Malicious,SocGholish,Backdoor,SocGholish,TMT-20240907-JHY,d=7&s=269&ci=&cri=567_269_2%3a52682%3a170270%3a530169&at=0&t=1,1
USA,7/269,Malicious,Fizzcore,Phishing,Fizzcore,TMT-20241209-ODY,d=7&s=269&ci=&cri=567_269_115%3a23725%3a80616%3a226807&at=0&t=1,1
USA,7/165,Resolved,MimicManager - 3PC,Backdoor,MimicManager - 3PC,TMT-20220818-SLR,d=7&s=165&ci=&cri=555_165_719008799695&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241211-FMP,d=7&s=165&ci=&cri=555_165_716312034860&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1319304&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326772&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326771&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326770&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326768&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326766&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326765&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326763&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326762&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20250104-CNB,d=7&s=165&ci=&cri=555_165_724758894405&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326760&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326759&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326758&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326757&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1319310&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1319308&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1319307&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1319306&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326761&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241022-GQN,d=7&s=165&ci=&cri=555_165_709812183073&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241015-AKG,d=7&s=165&ci=&cri=555_165_725420526164&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241015-AKG,d=7&s=165&ci=&cri=555_165_724421705411&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241015-AKG,d=7&s=165&ci=&cri=555_165_721390761821&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241015-AKG,d=7&s=165&ci=&cri=555_165_712490319997&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241015-AKG,d=7&s=165&ci=&cri=555_165_708214575028&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240925-YMG,d=7&s=165&ci=&cri=555_165_714536593435&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240324-SKU,d=7&s=165&ci=&cri=555_165_725217832030&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240324-SKU,d=7&s=165&ci=&cri=555_165_724046447893&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241211-FMP,d=7&s=165&ci=&cri=555_165_716198628717&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240324-SKU,d=7&s=165&ci=&cri=555_165_724046447881&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240324-SKU,d=7&s=165&ci=&cri=555_165_724046447752&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240324-SKU,d=7&s=165&ci=&cri=555_165_724046447740&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240324-SKU,d=7&s=165&ci=&cri=555_165_721295571304&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240324-SKU,d=7&s=165&ci=&cri=555_165_720306748552&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240324-SKU,d=7&s=165&ci=&cri=555_165_720306748549&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240324-SKU,d=7&s=165&ci=&cri=555_165_720306748543&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240324-SKU,d=7&s=165&ci=&cri=555_165_720306748540&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240324-SKU,d=7&s=165&ci=&cri=555_165_720306748534&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240324-SKU,d=7&s=165&ci=&cri=555_165_720306748528&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240324-SKU,d=7&s=165&ci=&cri=555_165_724046447884&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241211-FMP,d=7&s=165&ci=&cri=555_165_716198654322&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326773&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241210-DIB,d=7&s=165&ci=&cri=555_165_725002717658&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241210-DIB,d=7&s=165&ci=&cri=555_165_724485464158&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241210-DIB,d=7&s=165&ci=&cri=555_165_723166637714&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241210-DIB,d=7&s=165&ci=&cri=555_165_721909504515&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241210-DIB,d=7&s=165&ci=&cri=555_165_716213185902&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241201-REN,d=7&s=165&ci=&cri=555_165_725294628611&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241201-REN,d=7&s=165&ci=&cri=555_165_724773625149&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241201-GAU,d=7&s=165&ci=&cri=555_165_722923657099&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241022-GQN,d=7&s=165&ci=&cri=555_165_709895428201&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241201-DOU,d=7&s=165&ci=&cri=555_165_724289786139&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241128-GLM,d=7&s=165&ci=&cri=555_165_724046447758&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241128-GLM,d=7&s=165&ci=&cri=555_165_720306748546&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241127-NRS,d=7&s=165&ci=&cri=555_165_724046447725&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241127-NRS,d=7&s=165&ci=&cri=555_165_723401410507&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241124-KLB,d=7&s=165&ci=&cri=555_165_714556735360&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241119-ZFN,d=7&s=165&ci=&cri=555_165_725178729024&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241119-ZFN,d=7&s=165&ci=&cri=555_165_724888153185&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241109-EIQ,d=7&s=165&ci=&cri=555_165_725818818163&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241031-JBC,d=7&s=165&ci=&cri=555_165_724046658655&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241201-GAU,d=7&s=165&ci=&cri=555_165_722421935174&at=0&t=1,1
USA,7/480,Resolved,SocGholish,Backdoor,SocGholish,TMT-20241210-FGM,d=7&s=480&ci=&cri=639_480_437442717&at=0&t=1,1
USA,7/480,Resolved,SocGholish,Backdoor,SocGholish,TMT-20241210-FGM,d=7&s=480&ci=&cri=639_480_437442709&at=0&t=1,1
USA,7/480,Resolved,SocGholish,Backdoor,SocGholish,TMT-20241210-FGM,d=7&s=480&ci=&cri=639_480_302981965&at=0&t=1,1
USA,7/480,Resolved,SocGholish,Backdoor,SocGholish,TMT-20241210-FGM,d=7&s=480&ci=&cri=639_480_302981936&at=0&t=1,1
USA,7/480,Resolved,SocGholish,Backdoor,SocGholish,TMT-20241210-FGM,d=7&s=480&ci=&cri=639_480_301210008&at=0&t=1,1
USA,7/480,Malicious,SocGholish,Backdoor,SocGholish,TMT-20241119-XHQ,d=7&s=480&ci=&cri=639_480_184986008&at=0&t=1,1
USA,7/480,Malicious,SocGholish,Backdoor,SocGholish,TMT-20241119-XHQ,d=7&s=480&ci=&cri=639_480_184986004&at=0&t=1,1
USA,7/480,Malicious,SocGholish,Backdoor,SocGholish,TMT-20241006-PWO,d=7&s=480&ci=&cri=639_480_577310289&at=0&t=1,1
USA,7/480,Malicious,Dolos-3PC,Backdoor,Dolos-3PC,TMT-20241125-MTI,d=7&s=480&ci=&cri=639_480_576390327&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326960&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241204-CMA,d=7&s=4&ci=&cri=507_4_1326968&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241204-CMA,d=7&s=4&ci=&cri=507_4_1326960&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241204-CMA,d=7&s=4&ci=&cri=507_4_1326768&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241204-CMA,d=7&s=4&ci=&cri=507_4_1326761&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1335718&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1335717&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1334090&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1334089&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1334087&at=0&t=1,1
USA,7/165,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240722-QGC,d=7&s=165&ci=&cri=555_165_704517232012&at=0&t=1,1
USA,7/165,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240722-QGC,d=7&s=165&ci=&cri=555_165_708770268629&at=0&t=1,1
USA,7/165,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240722-QGC,d=7&s=165&ci=&cri=555_165_708770268626&at=0&t=1,1
USA,7/165,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240722-QGC,d=7&s=165&ci=&cri=555_165_708770268614&at=0&t=1,1
USA,7/165,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240722-QGC,d=7&s=165&ci=&cri=555_165_708770268608&at=0&t=1,1
USA,7/165,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240722-QGC,d=7&s=165&ci=&cri=555_165_708214575055&at=0&t=1,1
USA,7/165,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240722-QGC,d=7&s=165&ci=&cri=555_165_708214575052&at=0&t=1,1
USA,7/165,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240722-QGC,d=7&s=165&ci=&cri=555_165_708214575034&at=0&t=1,1
USA,7/165,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240722-QGC,d=7&s=165&ci=&cri=555_165_708214575028&at=0&t=1,1
USA,7/165,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240722-QGC,d=7&s=165&ci=&cri=555_165_708214575016&at=0&t=1,1
USA,7/480,Resolved,SocGholish,Backdoor,SocGholish,TMT-20241216-WSD,d=7&s=480&ci=&cri=639_480_301210008&at=0&t=1,1
USA,7/165,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240722-QGC,d=7&s=165&ci=&cri=555_165_708214575001&at=0&t=1,1
USA,7/165,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240722-QGC,d=7&s=165&ci=&cri=555_165_708214574869&at=0&t=1,1
USA,7/165,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240722-QGC,d=7&s=165&ci=&cri=555_165_708214574866&at=0&t=1,1
USA,7/165,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240722-QGC,d=7&s=165&ci=&cri=555_165_708214574857&at=0&t=1,1
USA,7/165,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240722-QGC,d=7&s=165&ci=&cri=555_165_708214574845&at=0&t=1,1
USA,7/480,Resolved,SocGholish,Backdoor,SocGholish,TMT-20241216-WSD,d=7&s=480&ci=&cri=639_480_437442713&at=0&t=1,1
USA,7/480,Resolved,SocGholish,Backdoor,SocGholish,TMT-20241216-WSD,d=7&s=480&ci=&cri=639_480_302981971&at=0&t=1,1
USA,7/480,Resolved,SocGholish,Backdoor,SocGholish,TMT-20241216-WSD,d=7&s=480&ci=&cri=639_480_302981940&at=0&t=1,1
USA,7/480,Resolved,SocGholish,Backdoor,SocGholish,TMT-20241216-WSD,d=7&s=480&ci=&cri=639_480_302908720&at=0&t=1,1
USA,7/165,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240722-QGC,d=7&s=165&ci=&cri=555_165_708214575013&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326977&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326975&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326974&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326972&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326971&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326969&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326968&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326967&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326966&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1334086&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326964&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326963&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326962&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326961&at=0&t=1,1
USA,7/165,Malicious Landing Location,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20240324-SKU,d=7&s=165&ci=&cri=555_165_720306748516&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326959&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326957&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326955&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326954&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1326965&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1334085&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1334074&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1327121&at=0&t=1,1
USA,7/4,Malicious,PhonyFetcher-3PC,Backdoor,PhonyFetcher-3PC,TMT-20241106-JLO,d=7&s=4&ci=&cri=507_4_1327119&at=0&t=1,1
